	compressor_time	entropy_time	entropy	compress
254	37692	5862	63674	2.8151202749140896
255	36529	6323	51361	3.3327908868999185
256	24537	7825	29237	5.893525179856115
257	39266	6893	59533	3.091320754716981
258	26831	6442	30481	7.001709401709402
259	13045	8576	6366	40.15686274509804
260	42321	6222	60722	2.571249215317012
261	5130	22202	5928	39.76699029126213
262	25579	9478	25225	5.936231884057971
263	18595	7975	20159	11.736389684813753
264	42200	13465	37405	8.923747276688454
265	43403	14327	55556	4.083748753738783
266	24247	12604	34760	9.142857142857142
267	35488	13335	44938	3.62157382847038
268	29176	6532	47985	4.205338809034908
269	35137	6923	44054	3.5555555555555554
270	31871	6482	48446	3.6344276841171252
271	33003	6492	52019	3.4829931972789114
272	24858	7174	36611	5.403693931398417
273	23786	7274	41652	5.777150916784203
274	22954	7043	36019	6.113432835820896
275	33274	6913	49559	3.919617224880383
276	25829	6833	41330	5.305699481865285
277	56157	6863	53928	3.4190317195325544
278	50166	7284	38320	5.0818858560794045
279	100162	12414	49992	3.506849315068493
280	104189	13706	51687	2.8643356643356643
281	49395	7104	46225	3.9233716475095783
282	54293	6292	66397	2.7997265892002736
283	59244	6252	46018	3.354627354627355
284	63782	5450	59941	2.6788750817527798
285	26371	6182	44078	4.2533748701973
286	37531	4688	73884	1.9990239141044412
287	15841	5500	9088	20.177339901477833
288	29617	5741	55956	3.124332570556827
289	14358	5611	14396	18.367713004484305
290	4749	7314	5189	68.26666666666667
291	10380	10069	6683	42.666666666666664
292	35869	8646	55058	3.235387045813586
293	17314	5891	34234	7.26241134751773
294	30910	5250	50298	3.6768402154398565
295	24808	5490	50145	4.179591836734694
296	5140	5991	19032	66.06451612903226
297	23645	3858	52743	4.818823529411764
298	11963	5320	8996	19.883495145631066
299	18025	11442	8916	19.78743961352657
300	39967	5971	46384	3.8460093896713614
301	23024	5381	9073	19.692307692307693
302	39406	5180	57261	3.100681302043906
303	33865	8777	8976	19.883495145631066
304	40608	9378	30414	5.744740532959327
305	18175	7104	34309	7.4881170018281535
306	24868	7485	41378	4.447339847991314
307	134737	4890	66694	2.3246311010215663
308	125920	3336	44169	7.846743295019157
309	131472	10750	44282	4.023575638506876
310	136381	9929	62023	2.743469524447421
311	30087	7625	38414	5.178255372945639
312	34686	7855	41694	3.3165991902834007
313	23645	5341	32450	5.688888888888889
314	25138	5992	44287	4.0554455445544555
315	26971	6733	38311	4.348195329087049
316	23796	6171	36446	4.790643274853801
317	5691	7274	6899	33.57377049180328
318	16482	6512	27831	8.551148225469728
319	12244	6522	11510	17.655172413793103
320	68912	5540	52608	4.491228070175438
321	77999	4969	68281	2.2033351264120493
322	18936	6993	23939	6.803986710963455
323	36189	5310	59675	2.6841415465268676
324	47461	11392	25872	5.834757834757835
325	71506	8866	62401	2.6511326860841424
326	75314	14909	30772	4.675799086757991
327	85684	13646	55004	3.416180150125104
328	32291	6903	33005	4.409041980624327
329	30478	6502	29916	5.760900140646976
330	30979	6332	36548	4.011753183153771
331	27482	5551	45792	3.673542600896861
332	31370	5781	42745	3.56794425087108
333	27141	5351	50220	3.3382233088834554
334	26741	6182	35072	4.905389221556886
335	23274	5230	47227	4.457018498367791
336	16952	7194	17458	9.183856502242152
337	59965	6582	29127	6.660162601626016
338	25790	6462	36432	4.75725900116144
339	4989	6934	4749	95.25581395348837
340	28334	5350	56722	3.624778761061947
341	85533	13356	49423	3.4333612740989103
342	86736	14117	31870	3.716878402903811
343	14197	7204	8897	19.78743961352657
344	12213	8887	7872	24.674698795180724
345	90423	10189	58476	2.9681159420289855
346	90643	10791	36571	3.775115207373272
347	47290	8416	50457	4.24016563146998
348	55627	8376	40338	3.5279931093884582
349	13135	5380	8952	19.78743961352657
350	23726	5841	45000	5.191381495564005
351	25759	6132	36248	5.088198757763975
352	28946	4969	49512	4.22703818369453
353	13867	5661	13938	19.230046948356808
